institution_name,year,country_code,ass_total,ass_trade,inc_trade,in_roa,rt_rwa,in_roe,in_trade,
VR-Bank Taufkirchen-Dorfen eG,2010,DE,"614,474","181,938","0,005","0,00622",,"0,0885706","0,0002322",
VR-Bank Taufkirchen-Dorfen eG,2011,DE,"633,569","180,552",0,"0,0073441",,"0,102988",0,
VR-Bank Taufkirchen-Dorfen eG,2012,DE,"648,91","198,789","-0,001","0,0065941","0,5252654451","0,0899762","-0,000047",
VR-Bank Taufkirchen-Dorfen eG,2013,DE,"671,787","211,609","-0,001","0,006118","0,5509752347","0,0801826","-0,0000467",
VR-Bank Taufkirchen-Dorfen eG,2014,DE,"719,898","244,074",0,"0,0066259","0,5272441374","0,0847262",0,
VR-Bank Taufkirchen-Dorfen eG,2015,DE,"727,785","226,449",0,"0,0057503","0,5383980159","0,0678557",0,
Sparda-Bank Baden-Württemberg eG,2007,DE,"9381,693","829,5125","1,615","0,003636",,"0,126546","0,00976",
Sparda-Bank Baden-Württemberg eG,2008,DE,"10184,68","856,7772","-3,446","0,0027776","0,4316716873","0,0993712","-0,0200107",
Sparda-Bank Baden-Württemberg eG,2009,DE,"11077,1","1277,215","1,824","0,0017305","0,4116003286","0,0652693","0,0119661",
Sparda-Bank Baden-Württemberg eG,2010,DE,"11669,08","1709,656","0,846","0,003783","0,4034626552","0,1396635","0,0048652",
Sparda-Bank Baden-Württemberg eG,2011,DE,"12179,84","1885,765",,"0,0042706","0,4131909779","0,1499899",,
Sparda-Bank Baden-Württemberg eG,2012,DE,"12804,86","2251,166",,"0,0039519","0,4050230147","0,1034724",,
Sparda-Bank Baden-Württemberg eG,2013,DE,"13072,35","1809,131",,"0,0043532","0,3983035185","0,1042467",,
Sparda-Bank Baden-Württemberg eG,2014,DE,"13479,02","2090,935",,"0,0046072","0,3947497667","0,0964051",,
Sparda-Bank Baden-Württemberg eG,2015,DE,"14027,94","2149,835",,"0,0038085","0,3434525668","0,0787484",,
Sparda-Bank Südwest eG,2007,DE,"7857,356","1280,227","0,102","0,0048166",,"0,1233098","0,0006664",
Sparda-Bank Südwest eG,2008,DE,8081,"1336,242","-0,58","0,0038446","0,4157777503","0,0964201","-0,0037185",
Sparda-Bank Südwest eG,2009,DE,"8463,887","1640,451","-0,858","0,0024062","0,396531759","0,0607335","-0,0056313",
Sparda-Bank Südwest eG,2010,DE,"8672,188","1635,445","-1,331","0,0022033","0,4021203184","0,0546211","-0,0080135",
Sparda-Bank Südwest eG,2011,DE,"8977,013","1561,637","1,037","0,0016572","0,4201551229","0,0408805","0,0062549",
Sparda-Bank Südwest eG,2012,DE,"9224,498","1796,65",0,"0,0036673","0,4243970783","0,0886606",0,
Sparda-Bank Südwest eG,2013,DE,"9185,631","1777,379",0,"0,0035539",,"0,0790181",0,
Sparda-Bank Südwest eG,2014,DE,"9525,246","1985,816",0,"0,017178","0,4246005825","0,3067119",0,
Sparda-Bank Südwest eG,2015,DE,"9410,783","1816,094",0,"0,00347",,"0,058359",0,
Volksbank Mainspitze eG,2010,DE,"719,172","121,289",0,"0,0020913","0,4823032599","0,0351238",0,
Volksbank Mainspitze eG,2011,DE,"692,647","101,269",0,"0,0023836","0,4630064087","0,0308742",0,
Volksbank Mainspitze eG,2012,DE,"674,174","79,80101",0,"0,00271","0,489932866","0,033032",0,
Volksbank Mainspitze eG,2013,DE,"608,821","64,06998",0,"0,0044857","0,5472265247","0,0465247",0,
Volksbank Mainspitze eG,2014,DE,"618,59","42,72203",0,"0,0045216","0,5297741638","0,0450533",0,
Volksbank Mainspitze eG,2015,DE,"582,182","47,395",0,"0,0041465",,"0,037677",0,
Volksbank Kempen-Grefrath eG,2010,DE,"312,371","127,956","0,001","0,005884","0,5738400812","0,0562544","0,0000823",
Volksbank Kempen-Grefrath eG,2011,DE,"317,111","128,187","-0,076","0,0070922","0,5758015332","0,0641069","-0,0062851",
Volksbank Kempen-Grefrath eG,2012,DE,"327,898","150,828","0,077","0,0071699","0,5994272609","0,0611316","0,0067255",
Volksbank Kempen-Grefrath eG,2013,DE,"327,242","155,432","-0,022","0,0057236","0,6063860996","0,0454182","-0,0017863",
Volksbank Kempen-Grefrath eG,2014,DE,"336,644","159,373","-0,074","0,005038","0,6276660211","0,0391054","-0,0063291",
Volksbank Kempen-Grefrath eG,2015,DE,"347,001","153,714",0,"0,0025187","0,6133728721","0,0190112",0,
Volksbank Krefeld eG,2010,DE,"970,164","310,155","0,541","0,0075317","0,4901387807","0,0963971","0,0160092",
Volksbank Krefeld eG,2011,DE,"1558,188","528,695","-0,041","0,0067245","0,4298428688","0,0909343","-0,000757",
Volksbank Krefeld eG,2012,DE,"1544,454","526,962","0,035","0,0063641","0,483011472","0,0774376","0,0006689",
Volksbank Krefeld eG,2013,DE,"1584,942","553,7",0,"0,0061542","0,4942136684","0,0712304",0,
Volksbank Krefeld eG,2014,DE,"1597,844","602,192",0,"0,0060982","0,5403218337","0,0660266",0,
Volksbank Krefeld eG,2015,DE,"1615,453","539,69",0,"0,0058888","0,5699645858","0,0602924",0,
BAG Bankaktiengesellschaft,2010,DE,"2445,242","680,492",0,"0,0055765","0,9396104762","0,0535888",0,
BAG Bankaktiengesellschaft,2011,DE,"2162,414","647,3141","0,193","0,0014576","0,9794609173","0,0126247","0,000981",
BAG Bankaktiengesellschaft,2012,DE,"1680,576","570,808","-0,177","0,007235","1,132655113","0,0473605","-0,0008416",
BAG Bankaktiengesellschaft,2013,DE,"1246,642","458,511","-0,076","0,0181183","1,211013266","0,0821199","-0,000418",
BAG Bankaktiengesellschaft,2014,DE,"1099,454","361,321","0,262","0,0360279","1,249897676","0,1308451","0,0014224",
Volksbank Kur- und Rheinpfalz eG,2010,DE,"2456,382","570,9211","0,002","0,0071044",,"0,0904576","0,0000224",
Volksbank Kur- und Rheinpfalz eG,2011,DE,"2524,566","545,2739",0,"0,0071573","0,6464132845","0,0840966",0,
Volksbank Kur- und Rheinpfalz eG,2012,DE,"2576,711","534,13",0,"0,0068067","0,6610655987","0,0740039",0,
Volksbank Kur- und Rheinpfalz eG,2013,DE,"2646,53","536,217",0,"0,0073372","0,6845711177","0,0736716",0,
Volksbank Kur- und Rheinpfalz eG,2014,DE,"2759,64","588,2009",0,"0,0066712","0,7302611935","0,0644254",0,
Volksbank Kur- und Rheinpfalz eG,2015,DE,"3009,694","616,9061",0,"0,0068911",,"0,0665569",0,
Volksbank Rhein-Nahe-Hunsrück eG,2010,DE,"1247,231","215,069",0,"0,0045204","0,5753545253","0,0550113",0,
Volksbank Rhein-Nahe-Hunsrück eG,2011,DE,"1261,92","197,381",0,"0,0056073","0,6095378471","0,0654246",0,
Volksbank Rhein-Nahe-Hunsrück eG,2012,DE,"1241,227","267,5121",0,"0,0056629","0,6639502686","0,0595461",0,
